3.0;;;;;;https://static.wikia.nocookie.net/prowrestling/images/1/11/Matt_Martel_Chase_Parker_WWE_Sept_5-19.jpg/revision/latest/scale-to-width-down/350?cb=20190908145406;
Adam Cole;5 ft 11 in (1.80 m);210 lbs (95 kg);July 5, 1989 (1989-07-05) (age 31);Lancaster, Pennsylvania;April 2008;https://static.wikia.nocookie.net/prowrestling/images/e/eb/Adam_Cole_stat_photo_2019.png/revision/latest/scale-to-width-down/219?cb=20190602035538;
Alicia Taylor;;;August 30, 1980 (1980-08-30) (age 40);Saginaw, Michigan;April 25, 2019;https://static.wikia.nocookie.net/prowrestling/images/f/fc/Alicia_Taylor_stat.png/revision/latest/scale-to-width-down/219?cb=20200512025806;
Aliyah;5 ft 2 in (1.57 m);112 lbs (51 kg);November 23, 1994 (1994-11-23) (age 26);Toronto, Ontario, Canada;January 20, 2013;https://static.wikia.nocookie.net/prowrestling/images/2/25/1FAF79C0-72A1-4EB1-A6CC-417119140882.png/revision/latest/scale-to-width-down/265?cb=20181008025111;
Amir Jordan;5 ft 10 in (1.78 m);189 lbs (86 kg);;Pakistan;2015;https://static.wikia.nocookie.net/prowrestling/images/1/1e/Amir_Jordan_Stat.png/revision/latest/scale-to-width-down/219?cb=20190123053813;
Anthony Greene;6 ft 2 in (1.88 m);191 lbs (87 kg);August 23, 1993 (1993-08-23) (age 27);Randolph, Massachusetts;May 6, 2012;https://static.wikia.nocookie.net/prowrestling/images/1/17/DSs7A8nW4AAJSoL.jpg/revision/latest/scale-to-width-down/350?cb=20181003231717;
Austin Theory;6 ft 1 in (1.85 m);220 lbs (100 kg);August 2, 1997 (1997-08-02) (age 23);McDonough, Georgia;May 5, 2016;https://static.wikia.nocookie.net/prowrestling/images/d/df/Austin_Theory.png/revision/latest/scale-to-width-down/219?cb=20200403014634;
Bad News Barrett;6 ft 7 in (2.01 m);246 lbs (112 kg);August 10, 1980 (1980-08-10) (age 40);Preston, Lancashire, UK;June 2004;https://static.wikia.nocookie.net/prowrestling/images/a/a4/Badnews_barrett_10.png/revision/latest/scale-to-width-down/203?cb=20140620182011;
Big Boa;6 ft 4 in (1.93 m);245 lbs (111 kg);;China;July 8, 2017;https://static.wikia.nocookie.net/prowrestling/images/3/31/Boa_stat.png/revision/latest/scale-to-width-down/219?cb=20190711070946;
Blake Christian;;;July 22, 1997 (1997-07-22) (age 23);Missouri;January 2017;https://static.wikia.nocookie.net/prowrestling/images/0/07/Blake_Christian.jpg/revision/latest/scale-to-width-down/350?cb=20200608205023;
Bobby Fish;5 ft 11 in (1.80 m);197 lbs (89 kg);October 27, 1979 (1979-10-27) (age 41);;2002;https://static.wikia.nocookie.net/prowrestling/images/a/a6/Bobby_Fish_stat--4d80331e8dad12e4130e55e79c9b2607.png/revision/latest/scale-to-width-down/219?cb=20180208215500;
